2012-08-06 10:31:46 [INFO] Starting minecraft server version 1.3.1
2012-08-06 10:31:46 [INFO] Loading properties
2012-08-06 10:31:47 [WARNING] server.properties does not exist
2012-08-06 10:32:33 [INFO] Preparing spawn area: 44%
2012-08-06 10:32:34 [INFO] Preparing spawn area: 48%
2012-08-06 10:32:35 [INFO] Preparing spawn area: 52%
2012-08-06 10:32:36 [INFO] Preparing spawn area: 53%
2012-08-06 10:32:37 [INFO] Preparing spawn area: 57%
2012-08-06 10:32:38 [INFO] Preparing spawn area: 61%
2012-08-06 10:32:39 [INFO] Preparing spawn area: 61%
2012-08-06 10:32:41 [INFO] Preparing spawn area: 65%
2012-08-06 10:32:42 [INFO] Preparing spawn area: 65%
2012-08-06 10:32:43 [INFO] Preparing spawn area: 69%
2012-08-06 10:32:44 [INFO] Preparing spawn area: 69%
2012-08-06 10:32:45 [INFO] Preparing spawn area: 73%
2012-08-06 10:32:46 [INFO] Preparing spawn area: 73%
2012-08-06 10:32:47 [INFO] Preparing spawn area: 77%
2012-08-06 10:32:48 [INFO] Preparing spawn area: 77%
2012-08-06 10:32:49 [INFO] Preparing spawn area: 81%
2012-08-06 10:32:50 [INFO] Preparing spawn area: 81%
2012-08-06 10:32:51 [INFO] Preparing spawn area: 85%
2012-08-06 10:32:52 [INFO] Preparing spawn area: 85%
2012-08-06 10:32:53 [INFO] Preparing spawn area: 89%
2012-08-06 10:32:54 [INFO] Preparing spawn area: 89%
2012-08-06 10:32:55 [INFO] Preparing spawn area: 93%
2012-08-06 10:32:57 [INFO] Preparing spawn area: 93%
2012-08-06 10:32:58 [INFO] Preparing spawn area: 97%
2012-08-06 10:32:58 [INFO] Preparing start region for level 1 (Seed: 674379255451406204)
2012-08-06 10:32:59 [INFO] Preparing spawn area: 0%
2012-08-06 10:33:00 [INFO] Preparing spawn area: 0%
2012-08-06 10:33:01 [INFO] Preparing spawn area: 4%
2012-08-06 10:33:02 [INFO] Preparing spawn area: 8%
2012-08-06 10:33:03 [INFO] Preparing spawn area: 8%
2012-08-06 10:33:07 [INFO] Preparing spawn area: 12%
2012-08-06 10:33:08 [INFO] Preparing spawn area: 16%
2012-08-06 10:33:09 [INFO] Preparing spawn area: 20%
2012-08-06 10:33:10 [INFO] Preparing spawn area: 20%
2012-08-06 10:33:11 [INFO] Preparing spawn area: 24%
2012-08-06 10:33:15 [INFO] Preparing spawn area: 24%
2012-08-06 10:33:17 [INFO] Preparing spawn area: 24%
2012-08-06 10:33:19 [INFO] Preparing spawn area: 28%
2012-08-06 10:33:20 [INFO] Preparing spawn area: 32%
2012-08-06 10:33:21 [INFO] Preparing spawn area: 32%
2012-08-06 10:33:23 [INFO] Preparing spawn area: 36%
2012-08-06 10:33:25 [INFO] Preparing spawn area: 36%
2012-08-06 10:33:26 [INFO] Preparing spawn area: 40%
2012-08-06 10:33:27 [INFO] Preparing spawn area: 44%
2012-08-06 10:33:28 [INFO] Preparing spawn area: 44%
2012-08-06 10:33:29 [INFO] Preparing spawn area: 44%
2012-08-06 10:33:30 [INFO] Preparing spawn area: 48%
2012-08-06 10:33:30 [INFO] Read timed out
2012-08-06 10:33:31 [INFO] Preparing spawn area: 48%
2012-08-06 10:33:32 [INFO] Preparing spawn area: 52%
2012-08-06 10:33:34 [INFO] Preparing spawn area: 52%
2012-08-06 10:33:35 [INFO] Preparing spawn area: 56%
2012-08-06 10:33:36 [INFO] Preparing spawn area: 57%
2012-08-06 10:33:37 [INFO] Preparing spawn area: 61%
2012-08-06 10:33:38 [INFO] Preparing spawn area: 65%
2012-08-06 10:33:39 [INFO] Preparing spawn area: 69%
2012-08-06 10:33:41 [INFO] Preparing spawn area: 69%
2012-08-06 10:33:42 [INFO] Preparing spawn area: 73%
2012-08-06 10:33:43 [INFO] Preparing spawn area: 73%
2012-08-06 10:33:47 [INFO] Preparing spawn area: 77%
2012-08-06 10:33:48 [INFO] Preparing spawn area: 77%
2012-08-06 10:33:54 [INFO] Preparing spawn area: 81%
2012-08-06 10:33:55 [INFO] Preparing spawn area: 81%
2012-08-06 10:33:56 [INFO] Preparing spawn area: 81%
2012-08-06 10:33:58 [INFO] Preparing spawn area: 85%
2012-08-06 10:34:04 [INFO] Preparing spawn area: 85%
2012-08-06 10:34:05 [INFO] Preparing spawn area: 85%
2012-08-06 10:34:06 [INFO] Preparing spawn area: 89%
2012-08-06 10:34:07 [INFO] Preparing spawn area: 89%
2012-08-06 10:34:08 [INFO] Preparing spawn area: 89%
2012-08-06 10:34:10 [INFO] Preparing spawn area: 93%
2012-08-06 10:34:15 [INFO] Preparing spawn area: 93%
2012-08-06 10:34:21 [INFO] Preparing spawn area: 93%
2012-08-06 10:34:22 [INFO] Preparing spawn area: 97%
2012-08-06 10:34:23 [INFO] Preparing spawn area: 97%
2012-08-06 10:34:24 [INFO] Preparing spawn area: 97%
2012-08-06 10:34:24 [INFO] Preparing start region for level 2 (Seed: 674379255451406204)
2012-08-06 10:34:25 [INFO] Preparing spawn area: 0%
2012-08-06 10:34:26 [INFO] Preparing spawn area: 0%
2012-08-06 10:34:27 [INFO] Preparing spawn area: 8%
2012-08-06 10:34:28 [INFO] Preparing spawn area: 12%
2012-08-06 10:34:29 [INFO] Preparing spawn area: 20%
2012-08-06 10:34:30 [INFO] Preparing spawn area: 24%
2012-08-06 10:34:31 [INFO] Preparing spawn area: 28%
2012-08-06 10:34:32 [INFO] Preparing spawn area: 32%
2012-08-06 10:34:33 [INFO] Preparing spawn area: 36%
2012-08-06 10:34:34 [INFO] Preparing spawn area: 40%
2012-08-06 10:34:36 [INFO] Preparing spawn area: 48%
2012-08-06 10:34:37 [INFO] Preparing spawn area: 52%
2012-08-06 10:34:38 [INFO] Preparing spawn area: 52%
2012-08-06 10:34:39 [INFO] Preparing spawn area: 57%
2012-08-06 10:34:40 [INFO] Preparing spawn area: 61%
2012-08-06 10:34:41 [INFO] Preparing spawn area: 69%
2012-08-06 10:34:42 [INFO] Preparing spawn area: 73%
2012-08-06 10:34:43 [INFO] Preparing spawn area: 77%
2012-08-06 10:34:44 [INFO] Preparing spawn area: 85%
2012-08-06 10:34:45 [INFO] Preparing spawn area: 89%
2012-08-06 10:34:46 [INFO] Preparing spawn area: 97%
2012-08-06 10:34:46 [INFO] [PermissionsEx] Enabling PermissionsEx v1.19.3
2012-08-06 10:34:47 [INFO] [PermissionsEx] Superperms support enabled.
2012-08-06 10:34:47 [INFO] [PermissionsEx] v1.19.3 enabled
2012-08-06 10:34:47 [INFO] [WorldEdit] Enabling WorldEdit v5.3
2012-08-06 10:34:47 [INFO] [WorldEdit] Default configuration file written: config.yml
2012-08-06 10:34:48 [INFO] WEPIF: Updated config file
2012-08-06 10:34:48 [INFO] WEPIF: PermissionsEx detected! Using PermissionsEx for permissions.
2012-08-06 10:34:50 [WARNING] [WorldEdit] "WorldEdit v5.3" has registered a listener for org.bukkit.event.player.PlayerChatEvent on method "public void com.sk89q.worldedit.bukkit.WorldEditListener.onPlayerChat(org.bukkit.event.player.PlayerChatEvent)", but the event is Deprecated. Server performance will be affected; please notify the authors [].
org.bukkit.plugin.AuthorNagException
	at org.bukkit.plugin.java.JavaPluginLoader.createRegisteredListeners(JavaPluginLoader.java:302)
	at org.bukkit.plugin.SimplePluginManager.registerEvents(SimplePluginManager.java:507)
	at com.sk89q.worldedit.bukkit.WorldEditPlugin.onEnable(WorldEditPlugin.java:111)
	at org.bukkit.plugin.java.JavaPlugin.setEnabled(JavaPlugin.java:217)
	at org.bukkit.plugin.java.JavaPluginLoader.enablePlugin(JavaPluginLoader.java:357)
	at org.bukkit.plugin.SimplePluginManager.enablePlugin(SimplePluginManager.java:381)
	at org.bukkit.craftbukkit.CraftServer.loadPlugin(CraftServer.java:263)
	at org.bukkit.craftbukkit.CraftServer.enablePlugins(CraftServer.java:245)
	at net.minecraft.server.MinecraftServer.i(MinecraftServer.java:296)
	at net.minecraft.server.MinecraftServer.d(MinecraftServer.java:275)
	at net.minecraft.server.MinecraftServer.a(MinecraftServer.java:225)
	at net.minecraft.server.DedicatedServer.init(DedicatedServer.java:140)
	at net.minecraft.server.MinecraftServer.run(MinecraftServer.java:380)
	at net.minecraft.server.ThreadServerApplication.run(SourceFile:539)
2012-08-06 10:34:50 [INFO] [Modifyworld] Enabling Modifyworld v1.19.3
2012-08-06 10:34:50 [SEVERE] [Modifyworld] Configuration file not found - deploying default one
2012-08-06 10:34:50 [WARNING] [Modifyworld] "Modifyworld v1.19.3" has registered a listener for org.bukkit.event.player.PlayerChatEvent on method "public void ru.tehkode.modifyworld.handlers.PlayerListener.onPlayerChat(org.bukkit.event.player.PlayerChatEvent)", but the event is Deprecated. Server performance will be affected; please notify the authors [t3hk0d3].
org.bukkit.plugin.AuthorNagException
	at org.bukkit.plugin.java.JavaPluginLoader.createRegisteredListeners(JavaPluginLoader.java:302)
	at org.bukkit.plugin.SimplePluginManager.registerEvents(SimplePluginManager.java:507)
	at ru.tehkode.modifyworld.ModifyworldListener.registerEvents(ModifyworldListener.java:168)
	at ru.tehkode.modifyworld.ModifyworldListener.<init>(ModifyworldListener.java:47)
	at ru.tehkode.modifyworld.handlers.PlayerListener.<init>(PlayerListener.java:50)
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:57)
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
	at java.lang.reflect.Constructor.newInstance(Constructor.java:525)
	at ru.tehkode.modifyworld.bukkit.Modifyworld.registerListeners(Modifyworld.java:110)
	at ru.tehkode.modifyworld.bukkit.Modifyworld.onEnable(Modifyworld.java:74)
	at org.bukkit.plugin.java.JavaPlugin.setEnabled(JavaPlugin.java:217)
	at org.bukkit.plugin.java.JavaPluginLoader.enablePlugin(JavaPluginLoader.java:357)
	at org.bukkit.plugin.SimplePluginManager.enablePlugin(SimplePluginManager.java:381)
	at org.bukkit.craftbukkit.CraftServer.loadPlugin(CraftServer.java:263)
	at org.bukkit.craftbukkit.CraftServer.enablePlugins(CraftServer.java:245)
	at net.minecraft.server.MinecraftServer.i(MinecraftServer.java:296)
	at net.minecraft.server.MinecraftServer.d(MinecraftServer.java:275)
	at net.minecraft.server.MinecraftServer.a(MinecraftServer.java:225)
	at net.minecraft.server.DedicatedServer.init(DedicatedServer.java:140)
	at net.minecraft.server.MinecraftServer.run(MinecraftServer.java:380)
	at net.minecraft.server.ThreadServerApplication.run(SourceFile:539)
2012-08-06 10:34:50 [INFO] [Modifyworld] Modifyworld enabled!
2012-08-06 10:34:50 [INFO] [CommandBook] Enabling CommandBook v2.1
2012-08-06 10:34:51 [INFO] [CommandBook] Maximum wrapper compatibility is enabled. Some features have been disabled to be compatible with poorly written server wrappers.
2012-08-06 10:34:52 [FINEST] [CommandBook] Component Sessions successfully enabled!
2012-08-06 10:34:53 [FINEST] [CommandBook] Component Bans successfully enabled!
2012-08-06 10:34:53 [WARNING] [CommandBook] Failed to load warps: plugins/CommandBook/homes.csv (No such file or directory)
2012-08-06 10:34:53 [FINEST] [CommandBook] Component Homes successfully enabled!
2012-08-06 10:34:53 [WARNING] [CommandBook] Failed to load warps: plugins/CommandBook/warps.csv (No such file or directory)
2012-08-06 10:34:53 [FINEST] [CommandBook] Component Warps successfully enabled!
2012-08-06 10:34:53 [WARNING] [CommandBook] "CommandBook v2.1" has registered a listener for org.bukkit.event.player.PlayerChatEvent on method "public void com.sk89q.commandbook.MessagingComponent.onChat(org.bukkit.event.player.PlayerChatEvent)", but the event is Deprecated. Server performance will be affected; please notify the authors [].
org.bukkit.plugin.AuthorNagException
	at org.bukkit.plugin.java.JavaPluginLoader.createRegisteredListeners(JavaPluginLoader.java:302)
	at org.bukkit.plugin.SimplePluginManager.registerEvents(SimplePluginManager.java:507)
	at com.sk89q.commandbook.CommandBook.registerEvents(CommandBook.java:88)
	at com.sk89q.commandbook.MessagingComponent.enable(MessagingComponent.java:57)
	at com.zachsthings.libcomponents.ComponentManager.enableComponents(ComponentManager.java:66)
	at com.zachsthings.libcomponents.bukkit.BasePlugin.onEnable(BasePlugin.java:98)
	at com.sk89q.commandbook.CommandBook.onEnable(CommandBook.java:96)
	at org.bukkit.plugin.java.JavaPlugin.setEnabled(JavaPlugin.java:217)
	at org.bukkit.plugin.java.JavaPluginLoader.enablePlugin(JavaPluginLoader.java:357)
	at org.bukkit.plugin.SimplePluginManager.enablePlugin(SimplePluginManager.java:381)
	at org.bukkit.craftbukkit.CraftServer.loadPlugin(CraftServer.java:263)
	at org.bukkit.craftbukkit.CraftServer.enablePlugins(CraftServer.java:245)
	at net.minecraft.server.MinecraftServer.i(MinecraftServer.java:296)
	at net.minecraft.server.MinecraftServer.d(MinecraftServer.java:275)
	at net.minecraft.server.MinecraftServer.a(MinecraftServer.java:225)
	at net.minecraft.server.DedicatedServer.init(DedicatedServer.java:140)
	at net.minecraft.server.MinecraftServer.run(MinecraftServer.java:380)
	at net.minecraft.server.ThreadServerApplication.run(SourceFile:539)
2012-08-06 10:34:53 [FINEST] [CommandBook] Component Messaging successfully enabled!
2012-08-06 10:34:53 [FINEST] [CommandBook] Component Teleports successfully enabled!
2012-08-06 10:34:53 [FINEST] [CommandBook] Component Inventory successfully enabled!
2012-08-06 10:34:53 [INFO] [CommandBook] Default configuration file written: kits.txt
2012-08-06 10:34:54 [INFO] [CommandBook] 1 kit(s) loaded.
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Kits successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component JingleNote successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Time Control successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Name Verification successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Fun successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Debug successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Thor successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Online List successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Stored Messages successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Spawn Locations successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Info successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component World Tools successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component Player Commands successfully enabled!
2012-08-06 10:34:54 [FINEST] [CommandBook] Component God successfully enabled!
2012-08-06 10:34:54 [INFO] [ChatManager] Enabling ChatManager v1.19.1
2012-08-06 10:34:54 [INFO] [ChatManager] ChatManager disabled. Check config.yml!
2012-08-06 10:34:54 [INFO] [ChatManager] Disabling ChatManager v1.19.1
2012-08-06 10:34:54 [INFO] [ChatManager] ChatManager disabled!
2012-08-06 10:34:54 [INFO] [WorldGuard] Enabling WorldGuard v5.5.3
2012-08-06 10:34:55 [INFO] [WorldGuard] Default configuration file written: /home/ben/bukkit-test/plugins/WorldGuard/config.yml
2012-08-06 10:34:55 [INFO] [WorldGuard] Default configuration file written: /home/ben/bukkit-test/plugins/WorldGuard/worlds/world/config.yml
2012-08-06 10:34:55 [INFO] [WorldGuard] Default configuration file written: /home/ben/bukkit-test/plugins/WorldGuard/worlds/world/blacklist.txt
2012-08-06 10:34:55 [INFO] [WorldGuard] (world) TNT ignition is PERMITTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world) Lighters are PERMITTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world) Lava fire is blocked.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world) Fire spread is UNRESTRICTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] Loaded configuration for world 'world'
2012-08-06 10:34:55 [INFO] [WorldGuard] Default configuration file written: /home/ben/bukkit-test/plugins/WorldGuard/worlds/world_nether/config.yml
2012-08-06 10:34:55 [INFO] [WorldGuard] Default configuration file written: /home/ben/bukkit-test/plugins/WorldGuard/worlds/world_nether/blacklist.txt
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_nether) TNT ignition is PERMITTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_nether) Lighters are PERMITTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_nether) Lava fire is blocked.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_nether) Fire spread is UNRESTRICTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] Loaded configuration for world 'world_nether'
2012-08-06 10:34:55 [INFO] [WorldGuard] Default configuration file written: /home/ben/bukkit-test/plugins/WorldGuard/worlds/world_the_end/config.yml
2012-08-06 10:34:55 [INFO] [WorldGuard] Default configuration file written: /home/ben/bukkit-test/plugins/WorldGuard/worlds/world_the_end/blacklist.txt
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_the_end) TNT ignition is PERMITTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_the_end) Lighters are PERMITTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_the_end) Lava fire is blocked.
2012-08-06 10:34:55 [INFO] [WorldGuard] (world_the_end) Fire spread is UNRESTRICTED.
2012-08-06 10:34:55 [INFO] [WorldGuard] Loaded configuration for world 'world_the_end'
2012-08-06 10:34:55 [INFO] [WorldGuard] 0 regions loaded for 'world'
2012-08-06 10:34:55 [INFO] [WorldGuard] 0 regions loaded for 'world_nether'
2012-08-06 10:34:55 [INFO] [WorldGuard] 0 regions loaded for 'world_the_end'
2012-08-06 10:34:55 [WARNING] [WorldGuard] "WorldGuard v5.5.3" has registered a listener for org.bukkit.event.player.PlayerChatEvent on method "public void com.sk89q.worldguard.bukkit.WorldGuardPlayerListener.onPlayerChat(org.bukkit.event.player.PlayerChatEvent)", but the event is Deprecated. Server performance will be affected; please notify the authors [].
org.bukkit.plugin.AuthorNagException
	at org.bukkit.plugin.java.JavaPluginLoader.createRegisteredListeners(JavaPluginLoader.java:302)
	at org.bukkit.plugin.SimplePluginManager.registerEvents(SimplePluginManager.java:507)
	at com.sk89q.worldguard.bukkit.WorldGuardPlayerListener.registerEvents(WorldGuardPlayerListener.java:94)
	at com.sk89q.worldguard.bukkit.WorldGuardPlugin.onEnable(WorldGuardPlugin.java:157)
	at org.bukkit.plugin.java.JavaPlugin.setEnabled(JavaPlugin.java:217)
	at org.bukkit.plugin.java.JavaPluginLoader.enablePlugin(JavaPluginLoader.java:357)
	at org.bukkit.plugin.SimplePluginManager.enablePlugin(SimplePluginManager.java:381)
	at org.bukkit.craftbukkit.CraftServer.loadPlugin(CraftServer.java:263)
	at org.bukkit.craftbukkit.CraftServer.enablePlugins(CraftServer.java:245)
	at net.minecraft.server.MinecraftServer.i(MinecraftServer.java:296)
	at net.minecraft.server.MinecraftServer.d(MinecraftServer.java:275)
	at net.minecraft.server.MinecraftServer.a(MinecraftServer.java:225)
	at net.minecraft.server.DedicatedServer.init(DedicatedServer.java:140)
	at net.minecraft.server.MinecraftServer.run(MinecraftServer.java:380)
	at net.minecraft.server.ThreadServerApplication.run(SourceFile:539)
2012-08-06 10:34:57 [INFO] Done (183.189s)! For help, type "help" or "?"
2012-08-06 10:35:00 [INFO] /173.255.235.251:45545 lost connection
2012-08-06 10:35:00 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?
2012-08-06 10:35:57 [WARNING] Can't keep up! Did the system time change, or is the server overloaded?

